Time,HeartRate
0,60
1,61
2,60
3,62
4,60
5,61
6,60
7,63
8,60
9,61
10,60
11,62
12,60
13,61
14,60
15,63
16,60
17,61
18,60
19,62
20,60
21,61
22,60
23,63
24,60
25,61
26,60
27,62
28,60
29,61
30,60
31,63
32,60
33,61
34,60
35,62
36,60
37,61
38,60
39,63
40,60
41,61
42,60
43,62
44,60
45,61
46,60
47,63
48,60
49,61
50,65
51,70
52,75
53,80
54,85
55,90
56,95
57,100
58,105
59,110
60,115
61,120
62,125
63,130
64,135
65,140
66,141
67,139
68,140
69,142
70,140
71,141
72,139
73,140
74,142
75,140
76,141
77,139
78,140
79,142
80,140
81,141
82,139
83,140
84,142
85,140
86,141
87,139
88,140
89,142
90,140
91,141
92,139
93,140
94,142
95,140
96,141
97,139
98,140
99,142
100,80
101,150
102,60
103,140
104,70
105,130
106,90
107,160
108,50
109,120
110,80
111,150
112,60
113,140
114,70
115,130
116,90
117,160
118,50
119,120
120,80
121,150
122,60
123,140
124,70
125,130
126,90
127,160
128,50
129,120
130,100
131,90
132,80
133,70
134,65
135,62
136,60
137,61
138,60
139,62
140,60
141,61
142,60
143,63
144,60
145,61
146,60
147,62
148,60
149,61
150,60
