date,impressions,clicks,ctr,spend,revenue,conversions
2026-02-09,11840,178,0.0150,290.50,1150.00,12
2026-02-10,12120,183,0.0151,298.20,1185.00,13
2026-02-11,12560,190,0.0151,310.00,1240.00,14
2026-02-12,11340,170,0.0150,275.00,1080.00,11
2026-02-13,13020,200,0.0154,325.40,1320.00,15
2026-02-14,12780,195,0.0153,319.10,1295.00,14
2026-02-15,11900,179,0.0150,292.00,1160.00,12
2026-02-16,12250,186,0.0152,305.00,1205.00,13
2026-02-17,11890,181,0.0152,298.80,1168.00,12
2026-02-18,11630,176,0.0151,287.60,1125.00,11
2026-02-19,12340,187,0.0152,309.20,1210.00,13
2026-02-20,12900,195,0.0151,322.50,1300.00,14
2026-02-21,13150,203,0.0154,335.80,1335.00,15
2026-02-22,12480,188,0.0151,310.40,1220.00,13
2026-02-23,12010,181,0.0151,299.00,1180.00,12
2026-02-24,11550,173,0.0150,284.00,1105.00,11
2026-02-25,11980,180,0.0150,295.00,1168.00,12
2026-02-26,12640,193,0.0153,320.00,1275.00,14
2026-02-27,12810,197,0.0154,328.00,1298.00,14
2026-02-28,12220,186,0.0152,305.50,1210.00,13
2026-03-01,11760,177,0.0150,288.00,1140.00,12
2026-03-02,12190,185,0.0152,302.00,1195.00,13
2026-03-03,12530,189,0.0151,313.50,1230.00,14
2026-03-04,11800,178,0.0151,295.00,1160.00,12
2026-03-05,11420,170,0.0149,280.00,1090.00,11
2026-03-06,12700,196,0.0154,327.00,1310.00,15
2026-03-07,13080,203,0.0155,339.50,1345.00,15
2026-03-08,12360,188,0.0152,310.00,1220.00,13
2026-03-09,11950,181,0.0152,300.00,1188.00,12
2026-03-10,12280,186,0.0151,306.50,1215.00,13
