Player,Stat_Type,Games_Analyzed,Average_Value,Predictability_Score,Stability_Rating,Last_5_Values,Data_Source
LeBron James,PTS,30,25.43,86.7,Elite,"[27, 19, 28, 27, 14]",Predictability API Engine
LeBron James,AST,30,7.2,83.15,High,"[8, 7, 3, 3, 8]",Predictability API Engine
LeBron James,REB,30,8.07,77.96,High,"[0, 3, 7, 7, 4]",Predictability API Engine
Stephen Curry,PTS,30,27.77,81.3,High,"[3, 25, 30, 14, 36]",Predictability API Engine
Stephen Curry,AST,30,5.8,81.22,High,"[8, 6, 3, 5, 6]",Predictability API Engine
Stephen Curry,REB,30,4.3,76.61,High,"[2, 9, 8, 5, 3]",Predictability API Engine
Giannis Antetokounmpo,PTS,30,29.1,90.57,Elite,"[35, 36, 23, 28, 32]",Predictability API Engine
Giannis Antetokounmpo,AST,30,7.23,77.52,High,"[20, 10, 10, 5, 15]",Predictability API Engine
Giannis Antetokounmpo,REB,30,11.8,85.7,Elite,"[17, 15, 13, 11, 11]",Predictability API Engine
Joel Embiid,PTS,19,23.79,82.85,High,"[23, 27, 27, 15, 14]",Predictability API Engine
Joel Embiid,AST,19,4.47,76.97,High,"[6, 6, 4, 4, 5]",Predictability API Engine
Joel Embiid,REB,19,8.16,80.3,High,"[7, 12, 12, 3, 7]",Predictability API Engine
Kevin Durant,PTS,30,25.83,86.6,Elite,"[42, 38, 30, 23, 11]",Predictability API Engine
Kevin Durant,AST,30,4.37,77.01,High,"[8, 5, 2, 2, 1]",Predictability API Engine
Kevin Durant,REB,30,5.6,79.51,High,"[6, 8, 1, 6, 7]",Predictability API Engine
Devin Booker,PTS,30,25.17,83.09,High,"[37, 40, 21, 20, 18]",Predictability API Engine
Devin Booker,AST,30,7.73,82.28,High,"[6, 3, 4, 14, 5]",Predictability API Engine
Devin Booker,REB,30,4.2,77.81,High,"[5, 4, 3, 6, 3]",Predictability API Engine
Jayson Tatum,PTS,30,26.37,85.71,Elite,"[25, 16, 23, 32, 16]",Predictability API Engine
Jayson Tatum,AST,30,6.7,82.03,High,"[2, 7, 8, 5, 8]",Predictability API Engine
Jayson Tatum,REB,30,8.0,82.24,High,"[14, 3, 8, 7, 8]",Predictability API Engine
Anthony Edwards,PTS,30,29.3,83.38,High,"[37, 25, 44, 9, 43]",Predictability API Engine
Anthony Edwards,AST,30,4.57,81.33,High,"[2, 4, 3, 5, 5]",Predictability API Engine
Anthony Edwards,REB,30,5.7,77.36,High,"[2, 7, 5, 4, 6]",Predictability API Engine
Shai Gilgeous-Alexander,PTS,30,33.07,88.85,Elite,"[27, 33, 22, 26, 42]",Predictability API Engine
Shai Gilgeous-Alexander,AST,30,6.97,86.58,Elite,"[12, 3, 8, 9, 6]",Predictability API Engine
Shai Gilgeous-Alexander,REB,30,4.57,75.37,High,"[0, 6, 4, 3, 6]",Predictability API Engine
Tyrese Haliburton,PTS,30,19.83,84.3,High,"[22, 17, 9, 22, 23]",Predictability API Engine
Tyrese Haliburton,AST,30,9.87,84.0,High,"[10, 11, 14, 6, 10]",Predictability API Engine
Tyrese Haliburton,REB,30,3.47,73.91,Medium,"[1, 6, 3, 1, 8]",Predictability API Engine
Donovan Mitchell,PTS,30,24.97,85.05,Elite,"[38, 24, 27, 26, 19]",Predictability API Engine
Donovan Mitchell,AST,30,5.7,80.85,High,"[3, 7, 5, 7, 6]",Predictability API Engine
Donovan Mitchell,REB,30,4.57,75.48,High,"[5, 12, 6, 3, 6]",Predictability API Engine
Kawhi Leonard,PTS,30,23.17,87.63,Elite,"[20, 29, 22, 28, 33]",Predictability API Engine
Kawhi Leonard,AST,30,3.43,78.59,High,"[2, 3, 4, 3, 7]",Predictability API Engine
Kawhi Leonard,REB,30,6.53,85.18,Elite,"[6, 6, 10, 7, 6]",Predictability API Engine
Anthony Davis,PTS,30,23.23,79.89,High,"[12, 34, 27, 13, 23]",Predictability API Engine
Anthony Davis,AST,30,3.67,71.15,Medium,"[5, 2, 0, 6, 10]",Predictability API Engine
Anthony Davis,REB,30,11.77,81.78,High,"[7, 15, 9, 11, 13]",Predictability API Engine
Damian Lillard,PTS,30,25.1,87.45,Elite,"[15, 22, 25, 19, 16]",Predictability API Engine
Damian Lillard,AST,30,6.77,82.15,High,"[11, 10, 8, 2, 4]",Predictability API Engine
Damian Lillard,REB,30,4.93,77.91,High,"[3, 6, 10, 1, 3]",Predictability API Engine
Trae Young,PTS,30,26.03,85.95,Elite,"[16, 23, 28, 24, 36]",Predictability API Engine
Trae Young,AST,30,11.77,86.89,Elite,"[9, 15, 10, 12, 11]",Predictability API Engine
Trae Young,REB,30,2.93,76.75,High,"[1, 5, 1, 1, 3]",Predictability API Engine
De'Aaron Fox,PTS,30,20.57,84.06,High,"[15, 16, 22, 14, 32]",Predictability API Engine
De'Aaron Fox,AST,30,6.37,81.41,High,"[7, 8, 3, 8, 11]",Predictability API Engine
De'Aaron Fox,REB,30,4.57,75.93,High,"[3, 4, 2, 4, 9]",Predictability API Engine
Jimmy Butler,PTS,30,17.93,82.36,High,"[13, 10, 28, 24, 30]",Predictability API Engine
