Name,Score,Avg,Type,Is_Live,Featured,Top_Ticker_Text,Bottom_Ticker_Text,Featured_TItle,Featured_Subtitle,Real_Data,Target,AI_Score,AI_Status,Price,Data_Stream
Ja Morant,,,PTS,FALSE,FALSE,,,,,,,,,,
Ja Morant,,,REB,FALSE,FALSE,,,,,,,,,,
Ja Morant,,,AST,FALSE,FALSE,,,,,,,,,,
Cedric Coward,82.6,13.3,PTS,FALSE,FALSE,,,,,,,,,,
Cedric Coward,78.2,6.6,REB,FALSE,FALSE,,,,,,,,,,
Cedric Coward,75.5,3,AST,FALSE,FALSE,,,,,,,,,,
,,,,,,,,,,,,,,,
Anthony Edwards,85.8,30.1,PTS,FALSE,FALSE,,,,,,,,,,
Anthony Edwards,80.3,5.4,REB,FALSE,FALSE,,,,,,,,,,
Anthony Edwards,81.9,3.9,AST,FALSE,FALSE,,,,,,,,,,
Rudy Gobert,79.3,10.7,PTS,FALSE,FALSE,,,,,,,,,,
Rudy Gobert,86.9,11.7,REB,FALSE,FALSE,,,,,,,,,,
Rudy Gobert,71.2,1.8,AST,FALSE,FALSE,,,,,,,,,,
Bam Adebayo,81.7,17.5,PTS,FALSE,FALSE,,,,,,,,,,
Bam Adebayo,84.8,9.9,REB,FALSE,FALSE,,,,,,,,,,
Bam Adebayo,72.8,2.7,AST,FALSE,FALSE,,,,,,,,,,
Norman Powell,86.9,23,PTS,FALSE,FALSE,,,,,,,,,,
Norman Powell,74.7,3.4,REB,FALSE,FALSE,,,,,,,,,,
Norman Powell,75.4,2.6,AST,FALSE,FALSE,,,,,,,,,,
Jerimiah Fears,79.3,12.4,PTS,FALSE,FALSE,,,,,,,,,,
Jerimiah Fears,78.8,3.8,REB,FALSE,FALSE,,,,,,,,,,
Jerimiah Fears,77.6,3.1,AST,FALSE,FALSE,,,,,,,,,,
Derik Queen,75.8,12.9,PTS,FALSE,FALSE,,,,,,,,,,
Derik Queen,81.2,7.6,REB,FALSE,FALSE,,,,,,,,,,
Derik Queen,75.1,4.8,AST,FALSE,FALSE,,,,,,,,,,
SGA,90.3,31.5,PTS,FALSE,FALSE,,,,,,,,,,
SGA,77.3,4.2,REB,FALSE,FALSE,,,,,,,,,,
SGA,83.6,6.4,AST,FALSE,FALSE,,,,,,,,,,
Lu Dort,75.1,8.9,PTS,FALSE,FALSE,,,,,,,,,,
Lu Dort,79.7,3.8,REB,FALSE,FALSE,,,,,,,,,,
Lu Dort,61.5,1.1,AST,FALSE,FALSE,,,,,,,,,,
***NBA Game Data ,,,,FALSE,TRUE,,,,,,,,,,
 Lauri Markkanen,85.8,26.9,pts,FALSE,FALSE,,,,,,,,,,
 Lauri Markkanen,79.9,6.9,reb,FALSE,FALSE,,,,,,,,,,
 Lauri Markkanen,74,2.1,ast,FALSE,FALSE,,,,,,,,,,
Jaren Jackson Jr.,84.7,19.7,PTS,FALSE,FALSE,,,,,,,,,,
Jaren Jackson Jr.,79.3,5.8,REB,FALSE,FALSE,,,,,,,,,,
Jaren Jackson Jr.,73.9,2.1,AST,FALSE,FALSE,,,,,,,,,,
Giannis Antetokounmpo,86.3,28,PTS,FALSE,FALSE,,,,,,,,,,
Giannis Antetokounmpo,80.9,10,REB,FALSE,FALSE,,,,,,,,,,
Giannis Antetokounmpo,72.2,6.5,AST,FALSE,FALSE,,,,,,,,,,
Ryan Rollins,81.8,17,PTS,FALSE,FALSE,,,,,,,,,,
Ryan Rollins,82.6,4.9,REB,FALSE,FALSE,,,,,,,,,,
Ryan Rollins,80.4,5.4,AST,FALSE,FALSE,,,,,,,,,,
deni avdija,87.4,25.9,pts,FALSE,FALSE,,,,,,,,,,
deni avdija,81.5,7.3,reb,FALSE,FALSE,,,,,,,,,,
deni avdija,79.4,7,ast,FALSE,FALSE,,,,,,,,,,
Jrue Holiday,79.8,13.7,PTS,FALSE,FALSE,,,,,,,,,,
Jrue Holiday,79.7,4.5,REB,FALSE,FALSE,,,,,,,,,,
Jrue Holiday,76.7,5.8,AST,FALSE,FALSE,,,,,,,,,,
Cooper Flagg,80.7,21.8,pts,FALSE,FALSE,,,,,,,,,,
Cooper Flagg,82.4,6.6,reb,FALSE,FALSE,,,,,,,,,,
Cooper Flagg,76,4.5,ast,FALSE,FALSE,,,,,,,,,,
